ids, screen_name, inreplyto, favorite, location,text
1.41E+18,2Sherryazar1956,,0,NW Arkansas ,"RT @jimmichael720: Biden doesn't have the balls to rescue stranded Americans that Joe left behind in Afghanistan!!!

76 Days and counting.."
1.05E+18,TrueCrimePoli,,0,"Boston, MA","RT @ChrisStigall: Biden says

Biden says inflation is transitory 

Biden says the border is secure

Biden says the Afghanistan exit went"
1.36E+18,WintWahLwin15,,0,,"RT @ForeignPolicy: ""A U.S.-India alliance would give China pause before further expanding into Central and Southern Asia. And wed be build"
3617900175,england_donald,,0,"Florida, USA",RT @CoryMillsFL: While Bidens State Department focuses on gender neutral passports; Americans are still stranded in Afghanistan being hu
1.36E+18,Brenda18291262,,0,,"RT @Chicago1Ray: If Illegals can file suit on the (U.S) Govt for being separated from their families 

Then the so the fuck can Americans t"
22577886,schotts,,0,Colorado,"RT @mikepompeo: ""@StateDept announces that since Thursday, it has been contacted by another 76 American citizens in Afghanistan, of whom 20"
27076983,TheProducteer,,0,,"RT @billroggio: The Biden administration was so desperate to get out of Afghanistan, now it is desperate to pour money into the country to"
1.14E+18,JaneSin98236872,,0,,"RT @Chicago1Ray: If Illegals can file suit on the (U.S) Govt for being separated from their families 

Then the so the fuck can Americans t"
22008787,ChrisStigall,,27,In your grocer’s freezer ,"Biden says

Biden says inflation is transitory 

Biden says the border is secure

Biden says the Afghanistan exit https://t.co/EL1Xr1BAXw"
1.19E+18,GlenWoo44182792,,0,,"RT @GOPChairwoman: Its been 30 days since Bidens answered a question about his border crisis.
 
41 days since hes answered a question on"
1.37E+18,ShooterSharon,,0,,"RT @Chicago1Ray: If Illegals can file suit on the (U.S) Govt for being separated from their families 

Then the so the fuck can Americans t"
245515968,mari__zen,,0,Earth,"RT @imUrB00gieman: How much is Joe Biden offering to pay the Americans he abandoned in Afghanistan???  $450,000 each?

https://t.co/FJ9pVj0"
1.27E+18,Allwaystruthfu1,,0,,"RT @imUrB00gieman: How much is Joe Biden offering to pay the Americans he abandoned in Afghanistan???  $450,000 each?

https://t.co/FJ9pVj0"
4273842320,Shelby2Phillip,,0,,"RT @RepFranklin: A few weeks ago, the Biden Administration told us less than 100 Americans were stuck in Afghanistan. Now that number is 45"
3149729430,MirageNewsCom,,0,Australia,"Readout of #President Biden's Meeting with Prime #Minister ... 
https://t.co/iHdG3dhO8v
#Afghanistan https://t.co/x7rQEHWarg"
72994171,purpledalmation,,0,,"RT @BenjySarlin: As of July, there were lots of happy headlines about bipartisan infrastructure, economy, and especially COVID decline. Sin"
473528903,becky_tull,,0,,"RT @Chicago1Ray: If Illegals can file suit on the (U.S) Govt for being separated from their families 

Then the so the fuck can Americans t"
8.69E+17,JohnCro67300259,,0,,RT @jihadwatchRS: How the Biden Administration Fakes theOnly 100 Americans Left in Afghanistan https://t.co/ej1RxhGqlv https://t.co/TZnM
1.37E+18,RogrRabbitsGirl,,0,Hopping down the bunny trail..,"RT @imUrB00gieman: How much is Joe Biden offering to pay the Americans he abandoned in Afghanistan???  $450,000 each?

https://t.co/FJ9pVj0"
1.11E+18,hollyh78,,0,Arkansas ,"RT @SoCalValleyGal: I never saw the funerals for those 13 Marines who were killed in Kabul in Afghanistan, did Joe Biden go to any of them?"
7.65E+17,Xpompier77,,0,"Yakima, WA","RT @NextRevFNC: .@SteveHiltonx: Instead of truth, Biden brought lies. Instead of unity, he brought division, chaos, and incompetence on eve"
1.42E+18,JD53724639,,0,,"RT @seanhannity: Historic inflation... rising gas prices... Americans in Afghanistan... crime... Border chaos... GDP at 2%... 

BIDEN to PR"
470754959,kyle_chap17,mehrdadnegahban,0,,@mehrdadnegahban @KelleyMac1 @AaronParnas @TerryMcAuliffe lol Biden was the one who let Bagram be taken over. Biden https://t.co/FUjOUGNqwf
1.16E+18,Retired_Cop1019,,0,"New York, USA","RT @Chicago1Ray: If Illegals can file suit on the (U.S) Govt for being separated from their families 

Then the so the fuck can Americans t"
